City,Country,Date,Lat,Lng,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
Rikitea,PF,1627950562,-23.1203,-134.9692,82,55,69.93,19.6
Busselton,AU,1627950580,-33.65,115.3333,100,79,47.05,7.74
Linxia Chengguanzhen,CN,1627950645,35.6003,103.2064,100,88,59.05,4.99
Vaini,TO,1627950573,-21.2,-175.2,20,73,75.36,12.66
Zhicheng,CN,1627950645,30.2956,111.5047,7,79,85.19,8.23
Ushuaia,AR,1627950557,-54.8,-68.3,40,81,38.86,23.02
Souillac,MU,1627950587,-20.5167,57.5167,20,88,59.38,5.75
Kapaa,US,1627950580,22.0752,-159.319,20,76,88.12,4.0
Daokou,CN,1627950646,35.5639,114.5058,6,75,79.45,7.09
Vianí,CO,1627950646,4.8738,-74.5624,99,70,70.23,4.65
Hermanus,ZA,1627950560,-34.4187,19.2345,1,84,56.89,8.66
Punta Arenas,CL,1627950577,-53.15,-70.9167,20,81,39.31,33.38
Cidreira,BR,1627950592,-30.1811,-50.2056,0,85,52.81,4.56
Codrington,AU,1627950647,-38.2667,141.9667,91,76,51.69,20.11
La Palma,US,1627950647,33.8464,-118.0467,1,35,107.8,7.0
Teguise,ES,1627950648,29.0605,-13.564,20,83,68.22,17.27
Tyukalinsk,RU,1627950648,55.8732,72.1967,75,74,61.29,8.3
Kumul,CN,1627950648,42.8,93.45,2,20,80.6,6.78
Bambous Virieux,MU,1627950572,-20.3428,57.7575,20,88,59.25,5.75
Poum,NC,1627950649,-20.2333,164.0167,0,62,69.94,7.07
Cockburn Town,TC,1627950649,21.4612,-71.1419,84,77,82.04,20.15
Starotimoshkino,RU,1627950650,53.7191,47.5312,6,58,70.43,6.49
Mar del Plata,AR,1627950439,-38.0023,-57.5575,0,50,53.13,1.99
Tasiilaq,GL,1627950652,65.6145,-37.6368,100,80,46.56,1.92
Benguela,AO,1627950652,-12.5763,13.4055,1,85,69.12,5.57
Albany,US,1627950612,42.6001,-73.9662,0,70,68.79,6.71
Lagoa Vermelha,BR,1627950652,-28.2086,-51.5258,0,89,42.94,4.52
Ossora,RU,1627950653,59.2353,163.0719,89,50,56.77,20.27
Cape Town,ZA,1627950265,-33.9258,18.4232,0,94,57.11,2.3
Baghlan,AF,1627950653,36.1307,68.7083,9,23,79.59,3.15
Bethel,US,1627950510,41.3712,-73.414,75,74,74.68,3.44
Kiryat Gat,IL,1627950653,31.61,34.7642,0,48,80.4,1.36
Chokurdakh,RU,1627950566,70.6333,147.9167,72,43,51.67,8.77
Namatanai,PG,1627950654,-3.6667,152.4333,52,68,85.03,4.43
Mataura,NZ,1627950558,-46.1927,168.8643,84,86,49.48,3.29
Caravelas,BR,1627950654,-17.7125,-39.2481,86,80,66.16,3.62
Kalabo,ZM,1627950655,-14.97,22.6814,0,45,54.66,4.81
East London,ZA,1627950572,-33.0153,27.9116,36,81,58.48,18.01
Lebu,CL,1627950590,-37.6167,-73.65,7,80,52.2,20.92
Bathsheba,BB,1627950655,13.2167,-59.5167,20,78,81.21,8.05
Salinópolis,BR,1627950656,-0.6136,-47.3561,25,79,77.47,5.35
Qaanaaq,GL,1627950560,77.484,-69.3632,94,66,45.27,0.78
Muli,MV,1627950656,2.9167,73.5667,100,70,81.97,3.69
Kamenka,RU,1627950656,51.3223,42.7678,6,49,73.02,4.41
Johnshaven,GB,1627950657,56.7949,-2.3358,43,86,54.81,5.01
Myski,RU,1627950657,53.709,87.8014,7,91,62.31,2.71
Chaman,PK,1627950657,30.9236,66.4512,5,14,74.53,3.53
Mildura,AU,1627950368,-34.2,142.15,3,82,51.76,13.8
Mosquera,CO,1627950658,4.7059,-74.2302,40,62,57.29,9.22
Tartagal,AR,1627950659,-22.5164,-63.8013,56,44,57.42,3.6
Torbay,CA,1627950564,47.6666,-52.7314,90,78,62.49,4.61
Nara,JP,1627950660,34.6851,135.8049,100,89,80.26,1.97
Altamira,BR,1627950660,-3.2033,-52.2064,21,69,73.45,1.95
Kalmunai,LK,1627950660,7.4167,81.8167,100,66,80.04,3.85
Upernavik,GL,1627950621,72.7868,-56.1549,98,68,46.78,3.83
Tomigusuku,JP,1627950661,26.185,127.675,40,79,85.77,18.41
Zaozyornoye,UA,1627950661,45.1582,33.2787,0,75,72.95,5.93
Vanimo,PG,1627950662,-2.6741,141.3028,38,66,85.84,8.12
Atar,MR,1627950663,20.5169,-13.0499,17,48,85.21,9.13
Port Alfred,ZA,1627950609,-33.5906,26.891,0,86,55.45,15.52
Aklavik,CA,1627950663,68.2191,-135.0107,100,77,57.92,14.45
Hastings,GB,1627950613,50.8552,0.5729,98,90,60.55,8.61
Pokhara,NP,1627950664,28.2333,83.9833,95,95,73.81,0.27
Portland,US,1627949998,45.5234,-122.6762,20,40,99.9,1.99
Hobart,AU,1627950515,-42.8794,147.3294,75,82,50.11,1.99
Bengkulu,ID,1627950565,-3.8004,102.2655,70,85,75.09,3.4
Nome,US,1627950664,64.5011,-165.4064,90,88,59.16,16.11
Mattru,SL,1627950664,7.6244,-11.8332,45,89,70.63,1.21
Hilo,US,1627950561,19.7297,-155.09,75,80,80.33,3.44
Tottori-shi,JP,1627950665,35.5,134.2333,75,78,80.67,2.3
Ponta do Sol,PT,1627950619,32.6667,-17.1,26,73,72.23,6.4
Castro,BR,1627950566,-24.7911,-50.0119,0,81,49.8,1.03
Pevek,RU,1627950590,69.7008,170.3133,95,83,35.04,21.0
Maningrida,AU,1627950666,-12.0667,134.2667,91,53,83.19,10.38
Bredasdorp,ZA,1627950567,-34.5322,20.0403,12,93,54.28,5.75
Katsuura,JP,1627950667,35.1333,140.3,30,75,87.82,10.98
Goderich,CA,1627950619,43.7501,-81.7165,8,64,69.57,1.14
Japura,ID,1627950667,-0.3167,102.35,47,80,79.34,1.21
Olafsvik,IS,1627950667,64.8945,-23.7142,100,78,52.48,5.12
Comarapa,BO,1627950668,-17.9,-64.4833,0,79,46.98,1.61
Barrow,US,1627950625,71.2906,-156.7887,90,81,44.62,18.41
Atuona,PF,1627950565,-9.8,-139.0333,12,74,77.45,18.63
Okato,NZ,1627950668,-39.2,173.8833,98,84,50.41,13.04
Santo Tomas,PH,1627950561,14.1079,121.1414,100,80,84.45,11.3
Port Hardy,CA,1627950618,50.6996,-127.4199,20,63,64.58,11.5
Mahibadhoo,MV,1627950669,3.7833,72.9667,100,73,81.9,4.03
Aswān,EG,1627950669,24.0934,32.907,100,16,89.31,7.85
Klyuchi,RU,1627950669,52.2667,79.1667,13,51,71.73,8.19
Luganville,VU,1627950670,-15.5333,167.1667,98,53,76.05,7.92
Simao,CN,1627950670,22.7886,100.9748,39,94,68.77,1.48
Champerico,GT,1627950670,14.3,-91.9167,100,76,87.28,5.12
Saint Paul Harbor,US,1627950577,57.79,-152.4072,90,72,56.71,8.05
Norman Wells,CA,1627950588,65.282,-126.8329,1,22,89.64,13.8
Saint-Philippe,RE,1627950576,-21.3585,55.7679,11,71,67.59,2.1
Jiaozuo,CN,1627950671,35.2397,113.2331,6,68,80.8,5.82
Guerrero Negro,MX,1627950671,27.9769,-114.0611,56,63,78.44,14.23
Saint-Joseph,RE,1627950672,-21.3667,55.6167,0,66,66.58,3.24
Bluff,NZ,1627950559,-46.6,168.3333,47,62,49.8,7.74
Celestún,MX,1627950673,20.8667,-90.4,56,71,83.8,14.54
Port Blair,IN,1627950673,11.6667,92.75,100,82,81.86,19.26
Talnakh,RU,1627950611,69.4865,88.3972,100,49,73.4,5.39
Bonavista,CA,1627950674,48.6499,-53.1147,100,70,62.6,11.18
Miandrivazo,MG,1627950675,-19.5167,45.4667,77,74,68.22,1.07
Berlevåg,NO,1627950565,70.8578,29.0864,16,83,47.35,6.55
Saint George,US,1627950620,37.1041,-113.5841,1,15,104.63,1.01
Bulolo,PG,1627950675,-7.2,146.65,65,56,84.49,2.62
Avarua,CK,1627950305,-21.2078,-159.775,90,74,80.65,12.66
Thompson,CA,1627950676,55.7435,-97.8558,20,38,77.16,8.05
Srednekolymsk,RU,1627950676,67.45,153.6833,15,44,53.24,11.88
High Level,CA,1627950676,58.5169,-117.136,40,42,87.91,5.75
Yellowknife,CA,1627950574,62.456,-114.3525,75,29,89.29,9.22
Kirensk,RU,1627950677,57.7853,108.1119,100,77,61.27,1.9
Mareeba,AU,1627950469,-17.0,145.4333,11,64,75.49,4.5
Hualmay,PE,1627950586,-11.0964,-77.6139,9,82,64.24,11.5
Mkwanga,TZ,1627950678,-7.118,39.2078,25,94,66.42,4.94
Puerto Ayora,EC,1627950625,-0.7393,-90.3518,39,91,70.72,8.05
Hithadhoo,MV,1627950558,-0.6,73.0833,100,73,81.82,6.2
Ituiutaba,BR,1627950678,-18.9689,-49.465,0,44,67.95,3.18
Tiksi,RU,1627950582,71.6872,128.8694,51,60,50.9,5.21
Vostok,RU,1627950593,46.4856,135.8833,77,77,73.38,1.54
Khonsa,IN,1627950679,27.0167,95.5667,46,81,74.7,1.59
Saskylakh,RU,1627950570,71.9167,114.0833,45,49,68.09,9.37
Ayagoz,KZ,1627950679,47.9714,80.4392,2,31,76.41,4.14
Lüderitz,NA,1627950562,-26.6481,15.1594,0,35,66.74,2.8
Bar Harbor,US,1627950680,44.3876,-68.2039,1,84,64.24,5.99
Manitouwadge,CA,1627950680,49.1215,-85.8403,100,75,63.32,5.37
Kuytun,RU,1627950680,54.3419,101.5036,100,80,60.96,5.21
Naters,CH,1627950681,46.3254,7.9891,41,81,58.44,1.99
Arumbāvūr,IN,1627950681,11.3833,78.7333,100,75,79.81,8.01
Salalah,OM,1627950519,17.0151,54.0924,90,100,77.09,6.91
Alexandria,EG,1627950561,31.2156,29.9553,0,83,80.56,7.34
Mossamedes,AO,1627950568,-15.1961,12.1522,84,83,67.87,4.76
Kuzino,RU,1627950682,57.0224,59.4412,100,97,59.54,3.58
Yeppoon,AU,1627950682,-23.1333,150.7333,0,55,71.38,8.93
George Town,MY,1627950419,5.4112,100.3354,40,86,80.89,2.3
Oistins,BB,1627950684,13.0667,-59.5333,20,78,80.69,8.05
São José da Coroa Grande,BR,1627950684,-8.8978,-35.1478,80,89,73.26,9.19
Waddān,LY,1627950685,29.1614,16.139,0,25,83.89,11.1
Mahabad,IR,1627950685,36.7631,45.7222,12,63,67.24,5.14
Angoche,MZ,1627950686,-16.2325,39.9086,0,67,68.86,9.48
Mehamn,NO,1627950687,71.0357,27.8492,62,84,46.71,3.8
Broken Hill,AU,1627950687,-31.95,141.4333,4,76,47.91,20.71
Ribeira Grande,PT,1627950582,38.5167,-28.7,54,92,73.0,7.85
Cherskiy,RU,1627950687,68.75,161.3,100,51,47.3,19.28
Tuatapere,NZ,1627950688,-46.1333,167.6833,36,70,49.82,4.85
Momostenango,GT,1627950688,15.0436,-91.4086,61,66,68.38,2.68
North Bend,US,1627950688,43.4065,-124.2243,90,88,71.24,13.8
Provideniya,RU,1627950596,64.3833,-173.3,90,76,53.71,6.71
Pochutla,MX,1627950689,15.7432,-96.4661,100,87,87.62,3.85
Chui,UY,1627950588,-33.6971,-53.4616,12,95,48.7,5.88
São Filipe,CV,1627950689,14.8961,-24.4956,80,86,76.1,5.17
Lorengau,PG,1627950559,-2.0226,147.2712,25,79,82.83,9.08
Havøysund,NO,1627950690,70.9963,24.6622,22,87,47.28,20.38
Soyo,AO,1627950690,-6.1349,12.3689,21,89,71.46,3.58
Dikson,RU,1627950565,73.5069,80.5464,82,80,50.99,7.67
Kiunga,PG,1627950691,-6.1219,141.2906,96,69,80.67,3.69
Novouzensk,RU,1627950691,50.4592,48.1431,7,31,79.68,8.63
Northam,GB,1627950692,51.0333,-4.2167,11,93,56.01,5.39
Dunmore Town,BS,1627950692,25.5,-76.65,100,74,83.3,9.4
Nikolskoye,RU,1627950591,59.7035,30.7861,100,97,59.81,15.35
Tuktoyaktuk,CA,1627950601,69.4541,-133.0374,90,81,50.0,17.27
Harper,LR,1627950692,4.375,-7.7169,34,79,75.6,4.92
Krasnyy Chikoy,RU,1627950693,50.3643,108.7512,57,70,66.13,4.09
Buala,SB,1627950576,-8.145,159.5921,56,81,80.56,6.93
Banjar,ID,1627950693,-8.19,114.9675,9,75,76.86,4.36
Arlit,NE,1627950677,18.7369,7.3853,97,37,89.6,13.02
Ulaangom,MN,1627950694,49.9811,92.0667,3,38,68.58,2.26
Hervey Bay,AU,1627950694,-25.2986,152.8535,0,76,77.04,5.99
Pisco,PE,1627950560,-13.7,-76.2167,75,82,62.65,13.8
Khandyga,RU,1627950695,62.6667,135.6,29,33,76.19,3.49
Jamestown,US,1627950571,42.097,-79.2353,1,55,68.36,1.5
Raahe,FI,1627950695,64.6833,24.4833,100,73,53.69,11.27
Pringsewu,ID,1627950696,-5.3582,104.9744,49,87,77.7,1.81
Carnarvon,AU,1627950592,-24.8667,113.6333,0,46,50.07,12.66
Butaritari,KI,1627950571,3.0707,172.7902,36,69,83.1,3.6
Kavieng,PG,1627950584,-2.5744,150.7967,31,74,83.86,10.18
Östersund,SE,1627950696,63.1792,14.6357,90,71,48.65,10.36
Moerai,PF,1627950697,-22.4333,-151.3333,91,80,75.15,19.75
Luanda,AO,1627950550,-8.8368,13.2343,1,87,70.32,6.17
Nanding,CN,1627950698,36.7483,118.0558,31,66,80.42,4.34
Port Townsend,US,1627950698,48.117,-122.7605,1,60,87.08,11.99
Navalgund,IN,1627950698,15.5667,75.3667,100,87,71.53,14.99
New Norfolk,AU,1627950559,-42.7826,147.0587,100,79,49.75,1.72
Clyde River,CA,1627950538,70.4692,-68.5914,90,100,35.83,5.75
Nyurba,RU,1627950699,63.2842,118.3319,0,42,74.84,7.63
Inhambane,MZ,1627950699,-23.865,35.3833,24,74,67.33,13.06
Kingman,US,1627950551,35.1894,-114.053,20,15,103.48,1.99
Sitka,US,1627950608,57.0531,-135.33,90,72,62.49,12.66
Soanierana Ivongo,MG,1627950700,-16.9167,49.5833,9,93,62.98,4.21
Touros,BR,1627950600,-5.1989,-35.4608,19,83,72.5,14.97
Pacific Grove,US,1627950700,36.6177,-121.9166,1,71,86.4,1.99
Dudinka,RU,1627950700,69.4058,86.1778,100,57,70.09,7.09
Zhigansk,RU,1627950604,66.7697,123.3711,8,43,69.64,7.14
Tomatlán,MX,1627950701,19.9333,-105.25,77,85,81.0,6.22
Avellino,IT,1627950701,40.9144,14.7887,14,52,71.47,2.59
Robe,AU,1627950701,-37.1833,139.75,100,66,52.25,26.75
Beidao,CN,1627950702,34.5686,105.8933,100,62,77.29,1.03
Ilulissat,GL,1627950580,69.2167,-51.1,100,76,46.42,12.66
Isangel,VU,1627950599,-19.55,169.2667,20,64,75.31,6.91
Lagoa,PT,1627950702,39.05,-27.9833,84,93,71.71,6.55
Orlik,RU,1627950702,52.5178,99.825,100,77,53.76,1.43
Ayacucho,PE,1627950703,-13.1583,-74.2239,90,68,54.21,4.81
Sovetskaya Gavan',RU,1627950703,48.9723,140.2878,28,73,65.5,10.65
Andilamena,MG,1627950703,-17.0167,48.5833,4,94,52.79,1.92
Acapulco de Juárez,MX,1627950704,16.8634,-99.8901,40,70,87.62,10.36
College,US,1627950672,64.8569,-147.8028,1,43,86.58,3.44
Tacoronte,ES,1627950704,28.4769,-16.4102,90,74,67.26,15.01
Iqaluit,CA,1627950576,63.7506,-68.5145,75,93,49.73,3.44
Lipin Bor,RU,1627950704,60.2622,37.9763,100,96,64.99,14.25
Lom Sak,TH,1627950705,16.7798,101.2422,75,94,76.89,0.0
Vao,NC,1627950705,-22.6667,167.4833,0,67,66.83,5.82
Yaan,NG,1627950705,7.3833,8.5667,100,96,71.8,5.79
Pangnirtung,CA,1627950706,66.1451,-65.7125,99,89,45.3,4.47
Sergiyev Posad,RU,1627950706,56.3,38.1333,100,92,67.75,9.84
Dillon,US,1627950706,34.4166,-79.3712,82,52,85.19,10.67
Shubarkuduk,KZ,1627950707,49.1447,56.4872,0,34,78.58,6.08
Hokitika,NZ,1627950707,-42.7167,170.9667,100,58,53.13,5.95
Lompoc,US,1627950574,34.6391,-120.4579,1,66,87.69,12.66
Khani,GE,1627950708,41.9563,42.9566,0,76,65.77,4.65
Auxerre,FR,1627950708,47.8,3.5667,100,92,62.46,6.33
Asău,RO,1627950595,46.4333,26.4,5,94,63.52,2.82
Masiga,PH,1627950708,13.3607,121.8278,100,72,84.04,4.7
Praia da Vitória,PT,1627950558,38.7333,-27.0667,90,94,74.75,4.81
Valréas,FR,1627950709,44.3837,4.9908,0,65,60.91,4.52
Burkburnett,US,1627950710,34.0979,-98.5706,1,43,86.72,1.99
Egersund,NO,1627950710,58.4513,5.9997,0,74,53.71,15.68
Darhan,MN,1627950710,49.4867,105.9228,100,86,60.1,11.32
Lakes Entrance,AU,1627950711,-37.8811,147.981,100,80,50.81,11.39
Katherine,AU,1627950711,-14.4667,132.2667,100,54,80.92,4.61
Changji,CN,1627950711,44.0167,87.3167,0,23,75.99,11.18
Port Lincoln,AU,1627950563,-34.7333,135.8667,92,64,52.54,20.22
Rajaori,IN,1627950712,33.3833,74.3,2,70,74.05,4.79
Jerome,US,1627950712,42.7241,-114.5186,1,39,88.63,17.27
Hīt,IQ,1627950712,33.6416,42.8251,2,24,93.11,10.25
Hamilton,US,1627950713,39.1834,-84.5333,20,61,75.42,1.01
Vila Franca do Campo,PT,1627950713,37.7167,-25.4333,0,83,66.61,5.12
São João da Barra,BR,1627950578,-21.6403,-41.0511,0,78,68.63,10.92
Zambezi,ZM,1627950713,-13.5432,23.1047,0,53,52.59,3.49
Hasaki,JP,1627950613,35.7333,140.8333,64,79,86.29,12.71
Tahoua,NE,1627950714,14.8888,5.2692,96,57,84.29,5.79
Chimbote,PE,1627950714,-9.0853,-78.5783,4,86,63.82,10.31
Vila Velha,BR,1627950583,-20.3297,-40.2925,0,94,60.75,2.3
Morondava,MG,1627950715,-20.2833,44.2833,4,70,65.46,11.1
Kirakira,SB,1627950715,-10.4544,161.9205,100,66,81.77,9.64
Galesong,ID,1627950715,-5.3166,119.3661,5,66,77.02,7.87
San Patricio,US,1627950716,28.017,-97.5169,80,63,89.46,13.33
Mahon,ES,1627950716,39.8885,4.2658,0,73,72.16,5.75
Aginskoye,RU,1627950598,51.1,114.53,55,66,69.01,7.11
Arraial do Cabo,BR,1627950610,-22.9661,-42.0278,0,80,68.07,17.69
Abalak,RU,1627950716,58.1286,68.5944,90,78,60.17,4.92
Fortuna,US,1627950589,40.5982,-124.1573,20,73,66.92,4.0
Prieska,ZA,1627950717,-29.6641,22.7474,0,42,46.85,2.82
Neiafu,TO,1627950717,-18.65,-173.9833,40,61,77.68,5.75
Santa Rosa,PH,1627950717,14.3122,121.1114,100,78,85.98,17.4
Progreso,MX,1627950549,21.2833,-89.6667,38,72,77.11,13.65
Coyhaique,CL,1627950718,-45.5752,-72.0662,20,53,46.35,5.75
Gebog,ID,1627950718,-6.735,110.8444,21,72,75.52,8.03
Longyearbyen,SJ,1627950584,78.2186,15.6401,75,71,46.24,21.85
Yulara,AU,1627950719,-25.2406,130.9889,0,62,49.84,19.57
Severo-Kuril'sk,RU,1627950719,50.6789,156.125,100,74,53.96,16.91
Paripiranga,BR,1627950719,-10.6875,-37.8617,1,96,62.58,5.21
Ziyang,CN,1627950720,29.2497,117.8547,2,67,86.92,4.41
Nabire,ID,1627950720,-3.3667,135.4833,87,78,81.81,2.33
Manta,EC,1627950563,-0.95,-80.7333,40,78,74.98,11.5
Kahului,US,1627950366,20.8947,-156.47,40,67,84.94,26.46
Innisfail,AU,1627950721,-17.5333,146.0333,42,56,75.34,3.58
San Quintín,MX,1627950589,30.4833,-115.95,1,61,76.78,15.35
Vardø,NO,1627950569,70.3705,31.1107,51,86,47.71,1.03
Boshnyakovo,RU,1627950721,49.6333,142.1667,2,63,67.51,3.83
Avera,US,1627950577,33.194,-82.5271,25,47,87.67,0.98
Vilhena,BR,1627950645,-12.7406,-60.1458,0,41,75.42,10.36
Bata,GQ,1627950722,1.8639,9.7658,40,94,76.86,4.61
Honningsvåg,NO,1627950722,70.9821,25.9704,44,82,47.7,17.69
Laas,IT,1627950591,46.6166,10.7002,60,91,58.08,0.81
Nerchinskiy Zavod,RU,1627950723,51.3088,119.61,98,72,68.2,4.63
Liverpool,GB,1627950542,53.4106,-2.9779,0,79,55.78,1.01
Sheksna,RU,1627950724,59.21,38.5107,85,92,69.76,17.27
Tabou,CI,1627950724,4.423,-7.3528,6,82,75.34,4.56
Port Elizabeth,ZA,1627950611,-33.918,25.5701,0,88,55.69,9.22
Itarema,BR,1627950724,-2.9248,-39.9167,10,79,75.58,3.22
