City,Country,Date,Lat,Lng,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
Beringovskiy,RU,1627950725,63.05,179.3167,100,94,43.77,8.46
Brito,PT,1627950725,41.4582,-8.361,100,84,66.69,1.7
Piaçabuçu,BR,1627950725,-10.4056,-36.4344,82,89,72.18,9.75
Taltal,CL,1627950726,-25.4,-70.4833,0,74,59.49,4.27
Sur,OM,1627950601,22.5667,59.5289,86,58,86.97,9.98
San Fernando,PH,1627950726,15.0286,120.6898,100,80,86.02,14.38
Kralendijk,BQ,1627950620,12.15,-68.2667,4,83,80.58,11.5
Jämsä,FI,1627950727,61.8642,25.19,100,97,57.88,7.85
Kargopol',RU,1627950727,61.5071,38.9456,100,98,61.2,10.36
Puri,IN,1627950727,19.8,85.85,100,71,81.12,7.92
The Valley,AI,1627950619,18.217,-63.0578,1,75,82.26,13.85
Silopi,TR,1627950728,37.2497,42.4694,4,33,82.98,5.55
Qandala,SO,1627950728,11.472,49.8728,38,52,86.59,11.14
General Roca,AR,1627950728,-39.0333,-67.5833,24,27,45.0,7.85
Leshukonskoye,RU,1627950728,64.8989,45.7622,100,98,54.19,4.45
Agadez,NE,1627950729,19.75,10.25,0,12,90.32,9.19
Tayu,ID,1627950729,-6.5397,111.0518,87,72,81.14,8.75
Turki,RU,1627950729,51.987,43.2731,6,44,70.79,4.54
Mahébourg,MU,1627950730,-20.4081,57.7,20,88,59.29,5.75
Lavrentiya,RU,1627950730,65.5833,-171.0,100,99,45.01,8.16
Rio Grande,BR,1627950572,-32.035,-52.0986,7,94,47.95,7.05
Alofi,NU,1627950730,-19.0595,-169.9187,75,65,78.69,12.66
Ulladulla,AU,1627950731,-35.35,150.4667,4,49,61.7,13.82
Benghazi,LY,1627950588,32.1167,20.0667,0,67,83.07,15.73
Flagstaff,US,1627950731,35.1981,-111.6513,1,26,88.66,5.01
Meulaboh,ID,1627950731,4.1363,96.1285,74,78,77.05,5.03
Vestmannaeyjar,IS,1627950564,63.4427,-20.2734,100,83,52.72,3.91
Qaqortoq,GL,1627950732,60.7167,-46.0333,100,97,50.5,2.51
Karratha,AU,1627950732,-20.7377,116.8463,20,24,64.09,23.04
Ancud,CL,1627950732,-41.8697,-73.8203,100,95,49.53,4.29
Pervomayskiy,RU,1627950733,53.2485,40.2871,100,79,65.52,5.73
Mumbai,IN,1627950610,19.0144,72.8479,75,94,80.58,13.8
Hong Kong,HK,1627950579,22.2855,114.1577,98,92,84.33,1.01
Seymchan,RU,1627950733,62.8833,152.4333,80,53,49.69,14.52
Khatanga,RU,1627950579,71.9667,102.5,82,52,70.52,12.93
Tateyama,JP,1627950734,34.9833,139.8667,35,75,87.73,11.41
Lugovoy,KZ,1627950734,42.9472,72.7644,81,26,73.67,6.38
Vangaindrano,MG,1627950734,-23.35,47.6,8,88,64.26,5.86
Boyolangu,ID,1627950735,-8.1181,111.8935,85,89,76.26,9.19
Orbetello,IT,1627950735,42.4408,11.2196,100,52,70.79,4.61
Saint-Augustin,CA,1627950735,51.226,-58.6502,100,87,59.43,17.2
Havelock,US,1627950705,34.8791,-76.9013,16,93,77.94,1.01
Uyemskiy,RU,1627950736,64.4743,40.8524,40,94,57.25,4.47
Bubaque,GW,1627950736,11.2833,-15.8333,46,82,79.05,14.67
Hofn,IS,1627950736,64.2539,-15.2082,100,86,52.93,7.2
Copala,MX,1627950737,16.65,-98.9833,91,82,81.91,6.42
Timrå,SE,1627950737,62.487,17.3257,75,65,53.67,13.8
Menongue,AO,1627950737,-14.6585,17.691,0,48,51.3,4.72
Fairbanks,US,1627950637,64.8378,-147.7164,1,42,88.09,3.44
Moratuwa,LK,1627950738,6.773,79.8816,100,88,80.62,6.73
Farafangana,MG,1627950738,-22.8167,47.8333,2,89,64.58,4.79
Moranbah,AU,1627950738,-22.0016,148.0466,5,24,76.6,5.1
Husavik,IS,1627950739,66.0449,-17.3389,95,89,51.71,2.39
Karpathos,GR,1627950739,35.507,27.2132,0,71,81.63,14.72
Usakos,NA,1627950739,-22.0,15.6,0,31,62.01,7.67
Nantucket,US,1627950667,41.2835,-70.0995,1,78,72.01,5.75
Sudogda,RU,1627950740,55.9539,40.8629,100,93,63.91,6.15
Homer,US,1627950643,59.6425,-151.5483,90,83,74.08,13.8
Jalu,LY,1627950740,29.0331,21.5482,0,24,86.54,7.63
Vilyuysk,RU,1627950741,63.7553,121.6247,0,39,76.01,8.34
Kavaratti,IN,1627950741,10.5669,72.642,100,72,82.04,14.12
Nelson,NZ,1627950469,-41.2833,173.2833,100,86,57.69,3.0
Constitución,CL,1627950742,-35.3333,-72.4167,0,68,53.47,5.84
Baghmara,IN,1627950742,23.795,86.2085,66,78,80.65,8.55
Zirándaro de los Chávez,MX,1627950742,18.45,-100.9833,37,73,84.34,2.66
San Juan,AR,1627950743,-31.5375,-68.5364,0,26,59.22,4.61
Cabo San Lucas,MX,1627950657,22.8909,-109.9124,20,51,97.52,12.66
Kabare,CD,1627950743,-2.4683,28.8242,86,71,59.41,0.25
Grafton,US,1627950743,42.207,-71.6856,1,75,71.85,4.61
Taoudenni,ML,1627950744,22.6783,-3.9836,77,23,97.45,10.04
Popondetta,PG,1627950744,-8.7537,148.2534,92,52,88.29,2.77
Rocha,UY,1627950744,-34.4833,-54.3333,0,92,44.51,1.3
Bariloche,AR,1627950745,-41.1456,-71.3082,75,76,47.95,11.5
Grand Gaube,MU,1627950745,-20.0064,57.6608,0,66,59.4,7.02
Carlyle,US,1627950745,38.6103,-89.3726,0,58,77.32,4.88
Shimoda,JP,1627950746,34.6667,138.95,100,82,86.36,7.76
Nakusp,CA,1627950623,50.2499,-117.8023,88,73,71.94,2.3
Río Cuarto,AR,1627950746,-33.1307,-64.3499,0,46,49.77,11.5
Ust-Tsilma,RU,1627950746,65.441,52.1498,24,98,54.39,2.77
Ol'ga,RU,1627950746,43.7444,135.2892,82,77,74.86,5.06
Muskegon,US,1627950747,43.3,-86.1334,75,61,72.28,5.75
Boralday,KZ,1627950747,43.3578,76.8594,75,29,75.06,4.47
Leningradskiy,RU,1627950748,69.3833,178.4167,100,100,33.21,9.53
St. Pete Beach,US,1627950607,27.7253,-82.7412,1,72,88.16,1.01
Mandan,US,1627950748,46.8267,-100.8896,1,26,91.38,1.99
Kipini,KE,1627950748,-2.5257,40.5262,6,80,75.49,13.18
Los Llanos de Aridane,ES,1627950571,28.6585,-17.9182,90,92,69.55,12.66
Mackenzie,CA,1627950749,55.2999,-123.1698,1,64,75.42,2.3
Kutum,SD,1627950749,14.2,24.6667,43,67,72.88,14.56
Pathein,MM,1627950749,16.7833,94.7333,100,93,76.98,9.66
Kinsale,IE,1627950542,51.7075,-8.5306,75,100,54.77,2.3
Tessalit,ML,1627950750,20.1986,1.0114,84,42,87.44,8.63
Petukhovo,RU,1627950750,55.0692,67.9019,100,70,63.09,6.46
Tura,IN,1627950750,25.5198,90.2201,100,96,75.96,3.0
Murray Bridge,AU,1627950659,-35.1167,139.2667,65,67,54.48,20.27
Petropavl,KZ,1627950751,54.8753,69.1628,100,70,61.84,5.86
Nanortalik,GL,1627950751,60.1432,-45.2371,100,96,44.11,1.68
Plettenberg Bay,ZA,1627950751,-34.0527,23.3716,0,62,56.7,4.65
Jijiga,ET,1627950752,9.35,42.8,39,77,60.12,18.59
Bima,ID,1627950752,-8.4667,118.7167,23,62,84.94,5.21
St. George's,GD,1627950753,12.0564,-61.7485,20,89,80.28,4.61
Tabuk,PH,1627950753,17.4189,121.4443,100,69,83.21,1.83
Khudumelapye,BW,1627950753,-23.8833,24.75,0,20,50.16,4.88
Cururupu,BR,1627950754,-1.8283,-44.8683,5,80,72.46,1.86
Tepezalá,MX,1627950754,22.2167,-102.1667,92,41,77.56,14.52
Orotukan,RU,1627950754,62.2667,151.7,100,58,44.87,10.16
Porgera,PG,1627950755,-5.4667,143.2,96,86,50.9,1.79
Sterling,US,1627950755,39.0062,-77.4286,20,63,76.44,8.05
Mola di Bari,IT,1627950755,41.0609,17.0873,0,71,82.89,3.18
Russell,US,1627950756,32.3502,-85.1999,75,90,74.91,0.0
Lubango,AO,1627950756,-14.9172,13.4925,0,15,55.53,3.94
Naryan-Mar,RU,1627950756,67.6713,53.087,38,91,48.7,3.98
Ous,RU,1627950756,60.9058,61.5186,0,87,57.33,3.6
Żurrieq,MT,1627950757,35.8311,14.4742,0,51,83.97,2.3
Aras,ES,1627950757,42.5617,-2.356,0,72,59.41,5.75
Kruisfontein,ZA,1627950617,-34.0033,24.7314,0,91,44.89,6.64
Mapimí,MX,1627950758,25.8167,-103.85,91,59,79.57,6.85
Ayan,RU,1627950758,56.45,138.1667,100,93,53.29,10.16
Palauig,PH,1627950758,15.435,119.9045,100,87,81.93,15.64
Paraopeba,BR,1627950759,-19.2757,-44.4033,0,52,65.55,2.68
Port-Gentil,GA,1627950610,-0.7193,8.7815,100,85,75.96,8.93
Bonthe,SL,1627950759,7.5264,-12.505,16,77,75.7,5.3
Esperance,AU,1627950759,-33.8667,121.9,76,76,48.04,14.43
Okhotsk,RU,1627950760,59.3833,143.3,100,61,59.4,10.11
Al Bardīyah,LY,1627950760,31.7561,25.0865,0,84,79.34,15.75
Kulhudhuffushi,MV,1627950760,6.6221,73.07,100,73,81.79,6.04
Marsh Harbour,BS,1627950567,26.5412,-77.0636,100,71,82.89,13.8
Tocopilla,CL,1627950761,-22.092,-70.1979,0,69,62.01,4.05
Cairns,AU,1627950609,-16.9167,145.7667,21,62,80.11,8.05
Novyye Lyady,RU,1627950761,58.0536,56.6039,100,93,63.64,2.77
Kapustin Yar,RU,1627950761,48.5831,45.7372,25,26,79.79,7.49
Beloha,MG,1627950762,-25.1667,45.05,68,65,65.43,6.93
Botwood,CA,1627950762,49.1499,-55.3482,100,70,67.48,6.44
Río Gallegos,AR,1627950762,-51.6226,-69.2181,0,61,42.85,28.77
Bilma,NE,1627950763,18.6853,12.9164,1,14,92.7,11.43
Tarko-Sale,RU,1627950763,64.9225,77.785,6,73,63.25,11.68
Qasigiannguit,GL,1627950763,68.8193,-51.1922,100,92,46.65,6.42
Dargaville,NZ,1627950764,-35.9333,173.8833,29,86,54.18,22.97
Sharlyk,RU,1627950764,52.9167,54.75,21,47,69.01,5.35
Santa Cecília,BR,1627950764,-26.9608,-50.4269,12,94,42.96,1.83
Solwezi,ZM,1627950765,-12.1688,26.3894,7,58,53.65,4.05
Black River,JM,1627950765,18.0264,-77.8487,82,79,84.2,4.27
Kultuk,RU,1627950765,51.7208,103.6956,100,94,59.04,5.32
Guangshui,CN,1627950766,31.6199,113.9978,21,80,83.34,10.85
Kentau,KZ,1627950766,43.5206,68.5094,100,20,82.44,11.88
Donskoye,RU,1627950766,45.4552,41.9741,6,49,77.13,4.56
Narganá,PA,1627950766,9.4428,-78.5906,100,82,80.65,3.71
Mazatlan,MX,1627950767,25.2,-99.8167,35,37,89.56,5.17
Coquimbo,CL,1627950767,-29.9533,-71.3436,90,87,55.13,4.61
Haines Junction,CA,1627950767,60.7522,-137.5108,100,43,75.15,9.22
Fukuechō,JP,1627950625,32.6881,128.8419,75,74,84.56,8.05
Puerto Cabezas,NI,1627950768,14.0351,-83.3888,100,89,78.64,10.2
Sampit,ID,1627950768,-2.5333,112.95,99,93,77.77,2.13
Antofagasta,CL,1627950608,-23.65,-70.4,1,74,56.48,2.53
Uauá,BR,1627950768,-9.8414,-39.4817,26,89,64.69,13.67
Fuerte Olimpo,PY,1627950769,-21.0415,-57.8738,0,46,65.23,5.75
Ermioni,GR,1627950769,37.3869,23.2442,0,36,84.45,7.81
Bowen,AU,1627950769,-20.0167,148.2333,20,60,75.42,9.13
Ponta Delgada,PT,1627950770,37.7333,-25.6667,20,82,66.92,8.05
Presidencia Roque Sáenz Peña,AR,1627950770,-26.7852,-60.4388,6,53,52.23,5.86
Concordia,AR,1627950770,-31.393,-58.0209,0,69,48.43,3.38
Berck,FR,1627950771,50.4,1.6,0,94,58.69,5.75
Nuuk,GL,1627950771,64.1835,-51.7216,90,76,50.61,2.3
Marsá Maţrūḩ,EG,1627950771,31.3525,27.2453,0,78,80.8,8.05
Ostrovnoy,RU,1627950771,68.0531,39.5131,80,99,49.69,6.13
Kloulklubed,PW,1627950653,7.0419,134.2556,100,78,84.7,13.35
Aljezur,PT,1627950772,37.3191,-8.8033,96,86,62.73,7.78
Hereford,GB,1627950772,52.0568,-2.7148,7,95,57.06,3.71
Arman',RU,1627950772,59.7,150.1667,6,43,57.58,7.67
Dingle,PH,1627950561,10.9995,122.6711,100,78,83.17,12.39
Sorong,ID,1627950773,-0.8833,131.25,59,69,84.0,6.13
Lima,PE,1627950060,-12.0432,-77.0282,75,82,61.14,9.22
Saint-Pierre,RE,1627950773,-21.3393,55.4781,90,62,67.68,10.36
Makakilo City,US,1627950774,21.3469,-158.0858,1,45,88.12,13.8
Manakara,MG,1627950774,-22.1333,48.0167,23,93,62.1,4.32
Kenai,US,1627950774,60.5544,-151.2583,1,75,74.03,12.66
Yamoussoukro,CI,1627950775,6.8206,-5.2767,40,78,78.69,6.91
Chernyshevskiy,RU,1627950775,63.0128,112.4714,7,36,72.52,10.78
Inta,RU,1627950775,66.0317,60.1659,100,84,56.68,3.94
Airai,TL,1627950615,-8.9266,125.4092,12,38,72.18,4.5
Rantepao,ID,1627950776,-2.9701,119.8978,86,88,72.82,2.17
Paraná,AR,1627950776,-31.732,-60.5238,0,66,52.57,7.25
Mount Isa,AU,1627950776,-20.7333,139.5,40,27,64.17,19.57
Mandera,KE,1627950776,3.9366,41.867,100,57,75.27,15.86
Tilichiki,RU,1627950728,60.4667,166.1,100,50,50.7,20.8
Quelimane,MZ,1627950777,-17.8786,36.8883,0,80,61.5,2.1
Horta,PT,1627950777,38.5333,-28.6333,41,92,72.19,7.31
Whitehorse,CA,1627950619,60.7161,-135.0538,90,34,81.01,2.3
Shreveport,US,1627950758,32.5251,-93.7502,75,86,81.14,6.91
Meadow Lake,US,1627950778,34.8014,-106.5436,50,33,86.45,1.36
Faanui,PF,1627950562,-16.4833,-151.75,84,78,78.31,13.76
Gua Musang,MY,1627950778,4.8823,101.9644,100,90,75.76,0.74
Barinas,VE,1627950779,8.6226,-70.2075,100,94,75.24,3.44
Zhangjiakou,CN,1627950779,40.81,114.8794,100,81,70.48,5.5
Shitanjing,CN,1627950779,39.2342,106.3439,100,45,66.69,3.71
Ahipara,NZ,1627950572,-35.1667,173.1667,21,82,55.04,28.32
Fort Nelson,CA,1627950618,58.8053,-122.7002,75,65,76.59,0.0
Wawa,NG,1627950780,9.9022,4.4192,100,89,73.47,1.81
Launceston,AU,1627950780,-41.45,147.1667,85,85,51.15,1.01
Mitchell,US,1627950559,43.7094,-98.0298,1,49,80.58,1.99
Saint-Louis,SN,1627950780,16.3333,-15.0,100,74,78.44,14.34
Ust'-Kan,RU,1627950781,50.9276,84.761,38,68,62.17,3.96
Charlestown,AU,1627950781,-32.95,151.6667,18,76,67.93,1.01
Luwuk,ID,1627950598,-0.9516,122.7875,61,71,80.96,6.51
Kankaanpää,FI,1627950782,61.8,22.4167,95,90,53.8,8.08
Ust'-Omchug,RU,1627950782,61.15,149.6333,33,46,49.77,11.65
Tuy Hoa,VN,1627950782,13.0833,109.3,100,59,86.77,16.02
Cayenne,GF,1627950605,4.9333,-52.3333,40,86,79.09,0.0
Palmerston,AU,1627950783,-12.486,130.9833,20,70,84.92,3.44
Lixouri,GR,1627950783,38.2019,20.4314,0,55,82.83,7.02
Milverton,CA,1627950783,43.5668,-80.9164,2,83,68.59,4.9
Te Anau,NZ,1627950784,-45.4167,167.7167,58,81,44.91,1.72
Bridlington,GB,1627950784,54.0831,-0.1919,81,76,59.9,8.39
Rock Hill,US,1627950784,34.9249,-81.0251,20,59,80.98,0.0
Half Moon Bay,US,1627950619,37.4636,-122.4286,75,60,90.72,23.02
Narsaq,GL,1627950785,60.9167,-46.05,99,96,50.22,4.61
Kuruman,ZA,1627950785,-27.4524,23.4325,0,26,47.41,6.44
Samarai,PG,1627950569,-10.6167,150.6667,65,76,79.95,14.41
Zaraza,VE,1627950786,9.3503,-65.3245,97,98,71.35,3.11
Kirkland Lake,CA,1627950786,48.1446,-80.0377,96,53,71.89,8.61
Cabedelo,BR,1627950786,-6.9811,-34.8339,5,85,74.07,11.92
Øksfjord,NO,1627950787,70.2396,22.3479,99,86,47.32,6.62
Sambava,MG,1627950787,-14.2667,50.1667,8,89,65.8,6.58
Hanzhong,CN,1627950787,33.0728,107.0303,80,80,79.47,2.42
Povenets,RU,1627950787,62.8487,34.8262,100,93,58.66,15.37
Douglas,US,1627950788,41.3,-96.167,1,55,78.1,1.01
Hobyo,SO,1627950788,5.3505,48.5268,68,73,77.49,20.58
Geraldton,AU,1627950677,-28.7667,114.6,0,87,47.12,8.05
Tiarei,PF,1627950789,-17.5333,-149.3333,98,72,84.22,9.98
Banda Aceh,ID,1627950789,5.5577,95.3222,100,75,81.41,12.24
Amahai,ID,1627950575,-3.3333,128.9167,25,80,81.34,3.71
Miyoshi City,JP,1627950790,35.0833,137.0667,100,83,83.71,13.56
Tunceli,TR,1627950527,39.1083,39.5471,65,50,76.06,7.52
Labuhan,ID,1627950791,-6.8844,112.2051,7,75,80.55,8.48
Dori,BF,1627950791,14.0354,-0.0345,100,48,87.58,8.32
Minas,UY,1627950791,-34.3759,-55.2377,0,92,45.07,2.37
Newport,GB,1627950534,51.5877,-2.9984,59,89,57.07,7.2
Goundam,ML,1627950792,16.4145,-3.6708,100,42,91.13,6.44
San Joaquin,US,1627950792,37.9333,-121.3011,1,19,97.68,10.36
Riyadh,SA,1627950547,24.6877,46.7219,16,10,87.94,10.47
Sakata,JP,1627950792,38.9167,139.855,75,66,89.78,8.05
Lugoba,TZ,1627950793,-6.45,38.3333,97,97,64.29,2.8
Ürümqi,CN,1627950793,43.801,87.6005,0,23,72.55,11.18
Yar-Sale,RU,1627950792,66.8333,70.8333,99,85,58.41,3.27
Marigot,MF,1627950793,18.0667,-63.0833,20,74,82.18,6.91
Bud,US,1627950794,39.447,-86.1758,9,61,75.29,5.59
Poso,ID,1627950794,-1.3959,120.7524,57,71,82.45,3.38
Villazón,BO,1627950794,-22.0866,-65.5942,91,53,40.93,7.23
Düzce,TR,1627950795,40.8389,31.1639,0,33,74.43,5.1
Maceió,BR,1627950764,-9.6658,-35.7353,75,94,72.84,3.44
San Felipe,VE,1627950543,10.3399,-68.7425,82,77,74.98,7.27
Sisimiut,GL,1627950669,66.9395,-53.6735,100,90,48.22,3.96
Doha,QA,1627950682,25.2867,51.5333,0,46,98.58,3.44
Ryki,PL,1627950795,51.6257,21.9327,16,87,59.18,7.18
Herat Province,AF,1627950796,34.5,62.0,0,15,72.72,10.29
Bat Khela,PK,1627950796,34.6167,71.9714,38,73,77.79,4.83
Ciudad Guayana,VE,1627950796,8.3533,-62.6528,47,94,72.59,2.44
Kaitangata,NZ,1627950605,-46.2817,169.8464,45,53,50.94,11.01
Cartagena,CO,1627950606,10.3997,-75.5144,90,83,82.02,5.75
Pericos,MX,1627950797,25.05,-107.7,16,65,88.86,6.38
Sumbe,AO,1627950797,-11.2061,13.8437,0,88,69.78,7.76
Sarrebourg,FR,1627950797,48.7333,7.05,100,94,58.8,6.11
Miguel Calmon,BR,1627950798,-11.4289,-40.595,99,94,62.1,4.03
Basco,PH,1627950798,20.4487,121.9702,100,90,81.5,30.29
Grindavik,IS,1627950552,63.8424,-22.4338,75,100,53.55,5.75
Socuéllamos,ES,1627950798,39.2858,-2.7921,0,71,67.37,11.48
San Andrés,CO,1627950798,12.5847,-81.7006,75,89,82.42,6.91
Padang,ID,1627950799,-0.9492,100.3543,50,73,75.25,2.06
Puerto Escondido,MX,1627950715,15.85,-97.0667,40,62,86.83,0.0
Ergani,TR,1627950799,38.2653,39.7621,1,30,79.52,5.7
Kundiawa,PG,1627950799,-6.0167,144.9667,100,62,74.88,0.94
Nemuro,JP,1627950800,43.3236,145.575,98,95,73.83,5.28
Kununurra,AU,1627950800,-15.7667,128.7333,72,28,80.58,13.8
Churapcha,RU,1627950800,62.0025,132.4325,96,42,73.08,12.06
Yambio,SS,1627950801,4.5721,28.3955,63,97,65.03,2.91
Yangi Marg`ilon,UZ,1627950801,40.4272,71.7189,45,56,72.82,4.61
Krasnokamensk,RU,1627950801,50.0979,118.0369,86,65,69.93,5.75
Tual,ID,1627950802,-5.6667,132.75,98,73,81.77,20.18
Tall Kayf,TR,1627950802,37.0833,41.0667,2,29,86.38,4.07
Gao,ML,1627950802,16.6362,1.637,93,56,84.4,7.07
Ribeira Brava,PT,1627950803,32.65,-17.0667,28,76,72.23,7.09
Envira,BR,1627950803,-7.3,-70.2167,0,52,72.01,2.44
Chanika,TZ,1627950803,-5.4167,38.0167,100,85,64.0,4.05
Toamasina,MG,1627950804,-18.1667,49.3833,20,94,62.6,0.0
